row_id,project_mode,app_type,monthly_users,expected_concurrent_users,requests_per_user_min,estimated_rps,peak_rps,budget_usd,storage_gb,performance_score,performance_available,cdn_present,database_intensity,api_intensity,realtime_required,realtime_connections,background_jobs,media_heavy,growth_rate,operational_skill,availability_level,high_availability,traffic_pattern,multi_region_required,autoscaling_required,managed_database_preferred,recommended_vcpu,recommended_ram_gb
WH-00001,LIVE_URL,SAAS,670496,38,7.73,4.9,6.66,46.0,159.4,61.0,1,0,VERY_HIGH,HIGH,0,0,0,0,MEDIUM,INTERMEDIATE,99.9,0,NORMAL,0,0,1,2,16
WH-00002,LIVE_URL,ECOMMERCE,442308,3286,6.37,348.86,519.81,241.81,32.1,,0,0,MEDIUM,HIGH,0,0,1,0,RAPID,ADVANCED,99.95,1,NORMAL,0,0,0,32,64
WH-00003,LIVE_URL,BLOG,69368,6,2.92,0.29,0.43,11.11,11.5,98.0,1,0,LOW,LOW,0,0,0,0,STABLE,BEGINNER,BASIC,0,BUSINESS_HOURS,0,0,0,1,4
WH-00004,PLANNED,BLOG,4653,25,2.11,0.88,1.31,20.97,17.3,,0,0,LOW,LOW,0,0,0,0,SLOW,INTERMEDIATE,99.9,0,NORMAL,0,0,0,1,4
WH-00005,PLANNED,SAAS,1219194,3981,14.86,985.96,2839.57,936.99,752.8,,0,1,HIGH,HIGH,0,0,0,1,STABLE,ADVANCED,99.95,1,EVENT_DRIVEN,1,0,0,32,64
WH-00006,LIVE_URL,MARKETPLACE,172514,3358,6.35,355.39,1407.34,265.18,134.0,66.0,1,0,HIGH,HIGH,0,0,0,1,MEDIUM,ADVANCED,99.95,1,EVENT_DRIVEN,0,1,0,32,64
WH-00007,LIVE_URL,SAAS,149603,241,16.4,65.87,127.14,31.37,14.8,,0,0,MEDIUM,HIGH,1,177,1,0,RAPID,ADVANCED,99.95,1,BUSINESS_HOURS,0,0,0,8,16
WH-00008,PLANNED,MARKETPLACE,519854,3109,14.29,740.46,2613.82,1268.0,117.4,,0,1,MEDIUM,HIGH,1,1381,1,0,MEDIUM,ADVANCED,99.9,0,EVENT_DRIVEN,1,0,0,32,64
WH-00009,PLANNED,CORPORATE,21212,62,5.47,5.65,8.48,19.72,325.4,,0,0,LOW,LOW,0,0,0,1,MEDIUM,BEGINNER,99.95,1,NORMAL,0,0,1,2,4
WH-00010,NEW_IDEA,MEDIA_STREAMING,202564,868,2.87,41.52,64.35,117.64,596.8,,0,0,MEDIUM,MEDIUM,1,422,0,1,STABLE,ADVANCED,99.5,0,EVENING,0,0,1,4,8
WH-00011,LIVE_URL,SAAS,1154380,4953,12.58,1038.48,3115.44,458.77,48.0,68.5,1,1,HIGH,HIGH,1,1233,1,0,MEDIUM,BEGINNER,99.99,1,SEASONAL,0,0,0,32,64
WH-00012,PLANNED,MARKETPLACE,130017,1366,5.71,130.0,202.8,46.06,151.0,,0,0,HIGH,HIGH,0,0,0,1,MEDIUM,ADVANCED,99.9,0,EVENING,0,0,1,16,32
WH-00013,LIVE_URL,EDUCATION,255478,76,3.7,4.69,8.39,82.18,741.3,70.5,1,0,MEDIUM,HIGH,0,0,0,1,STABLE,ADVANCED,BASIC,0,SEASONAL,0,0,0,2,4
WH-00014,LIVE_URL,SAAS,349448,1899,13.96,441.83,751.12,128.83,219.3,73.6,1,0,VERY_HIGH,VERY_HIGH,0,0,0,1,SLOW,BEGINNER,99.9,0,BUSINESS_HOURS,0,0,1,32,64
WH-00015,LIVE_URL,MEDIA_STREAMING,18311,53,3.35,2.96,3.88,21.78,33.8,77.8,1,1,LOW,MEDIUM,0,0,0,1,MEDIUM,INTERMEDIATE,99.9,0,WEEKEND,0,0,0,1,4
WH-00016,LIVE_URL,PORTFOLIO,2611,4,2.45,0.16,0.6,18.75,57.5,87.8,1,0,LOW,LOW,0,0,0,0,RAPID,INTERMEDIATE,99.9,0,EVENT_DRIVEN,0,0,0,2,4
WH-00017,LIVE_URL,SAAS,96631,2733,15.22,693.27,2800.81,322.66,87.0,62.7,1,1,HIGH,HIGH,0,0,0,1,RAPID,BEGINNER,99.9,0,EVENT_DRIVEN,0,0,0,32,64
WH-00018,PLANNED,INTERNAL_BUSINESS,198,2,4.02,0.13,0.23,18.71,42.5,,0,1,MEDIUM,MEDIUM,1,0,1,0,MEDIUM,ADVANCED,99.9,0,BUSINESS_HOURS,0,0,0,1,4
WH-00019,LIVE_URL,INTERNAL_BUSINESS,607,10,8.57,1.43,1.66,11.28,44.1,84.8,1,0,MEDIUM,MEDIUM,0,0,0,0,SLOW,INTERMEDIATE,99.9,0,NORMAL,0,0,0,2,4
WH-00020,NEW_IDEA,MARKETPLACE,202174,1657,17.84,492.68,1645.56,190.86,34.8,,0,0,HIGH,VERY_HIGH,0,0,0,0,SLOW,ADVANCED,99.9,0,SEASONAL,0,0,1,32,64
WH-00021,LIVE_URL,BLOG,42731,114,2.18,4.14,13.42,16.16,24.0,71.0,1,0,LOW,LOW,0,0,0,0,STABLE,INTERMEDIATE,99.9,0,EVENT_DRIVEN,0,0,0,2,4
WH-00022,PLANNED,BLOG,29844,45,4.93,3.7,15.09,10.43,11.6,,0,0,LOW,LOW,0,0,0,0,STABLE,BEGINNER,BASIC,0,EVENT_DRIVEN,0,0,0,1,4
WH-00023,PLANNED,CORPORATE,5308,14,4.08,0.95,1.25,8.0,57.7,,0,0,LOW,LOW,0,0,0,0,SLOW,ADVANCED,99.9,0,NORMAL,0,0,1,2,4
WH-00024,PLANNED,SAAS,664250,3347,19.19,1070.48,1477.27,420.66,67.8,,0,1,HIGH,HIGH,1,1869,1,0,MEDIUM,INTERMEDIATE,99.9,0,EVENING,0,1,0,32,64
WH-00025,PLANNED,INTERNAL_BUSINESS,6546,4,8.57,0.57,1.19,9.33,17.0,,0,0,MEDIUM,LOW,0,0,0,0,STABLE,ADVANCED,99.9,0,EVENING,0,0,1,2,4
WH-00026,PLANNED,SAAS,262074,2919,20.57,1000.73,1991.45,276.02,16.5,,0,0,HIGH,MEDIUM,0,0,1,0,SLOW,ADVANCED,99.9,0,BUSINESS_HOURS,0,1,1,32,64
WH-00027,NEW_IDEA,INTERNAL_BUSINESS,20853,14,2.63,0.61,1.38,38.25,16.4,,0,1,MEDIUM,MEDIUM,0,0,0,0,SLOW,BEGINNER,99.95,1,SEASONAL,0,0,0,2,8
WH-00028,PLANNED,CORPORATE,50334,116,3.92,7.58,10.23,21.28,13.7,,0,0,LOW,LOW,0,0,0,0,STABLE,INTERMEDIATE,99.5,0,BUSINESS_HOURS,0,0,0,2,4
WH-00029,LIVE_URL,CORPORATE,65822,8,3.66,0.49,0.96,12.23,25.1,62.8,1,1,LOW,LOW,0,0,0,0,MEDIUM,BEGINNER,99.5,0,BUSINESS_HOURS,0,0,0,1,4
